,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,datetaken,datetakengranularity,datetakenunknown,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url,time,hour
0,53337932001,76475621@N00,64c2722d20,65535,66,"1921, the year in pictures: Downlow cornerstone.",1,0,0,2023-10-28 14:37:11,0,0,42.578,-84.4435,16,0,,5001093,1,0,0,0,https://live.staticflickr.com/65535/53337932001_64c2722d20.jpg,2023-10-28 14:37:11,14
1,53399342721,7702423@N04,d2e4b5eeca,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:01:05,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399342721_d2e4b5eeca.jpg,2023-12-06 12:01:05,12
2,53399775705,7702423@N04,a7f2040618,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:01:47,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399775705_a7f2040618.jpg,2023-12-06 12:01:47,12
3,53398411532,7702423@N04,32dff2a964,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:02:52,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53398411532_32dff2a964.jpg,2023-12-06 12:02:52,12
4,53399775240,7702423@N04,abc533cbf7,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:03:29,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399775240_abc533cbf7.jpg,2023-12-06 12:03:29,12
5,53399775150,7702423@N04,4784896b17,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:03:49,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399775150_4784896b17.jpg,2023-12-06 12:03:49,12
6,53399662659,7702423@N04,f16f19fc85,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:03:50,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399662659_f16f19fc85.jpg,2023-12-06 12:03:50,12
7,53399341606,7702423@N04,8cd49a5eb2,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:06:11,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399341606_8cd49a5eb2.jpg,2023-12-06 12:06:11,12
8,53399341351,7702423@N04,bc269ddb7c,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:01:22,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399341351_bc269ddb7c.jpg,2023-12-06 12:01:22,12
9,53399774485,7702423@N04,6b246599c0,65535,66,"Fox Squirrels in Ann Arbor at the University of Michigan on December 6th, 2023",1,0,0,2023-12-06 12:03:49,0,0,42.2745,-83.739,16,0,,4984247,1,0,0,0,https://live.staticflickr.com/65535/53399774485_6b246599c0.jpg,2023-12-06 12:03:49,12
